"Story","Title","Result","Date","Stability","Duration (s)"
"Search for the product","Search available products","SUCCESS","2023-06-23T22:55:28.806+03:00[Europe/Kiev]","0.0","3.55"
"Search for the product","Search not existed products","SUCCESS","2023-06-23T22:55:32.363+03:00[Europe/Kiev]","0.0","0.98"
